loc_rowid,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
3164,Transit,2014,Kepler,4.31179200,2.760,0.246,8.05000,0.02530,2.100000,1038
3165,Transit,2014,Kepler,9.76729200,2.050,0.183,4.86000,0.01530,3.100000,791
3166,Transit,2014,Kepler,20.05040100,2.310,0.206,15.20000,0.04800,6.780000,622
3167,Transit,2014,Kepler,7.49019000,2.570,0.229,7.13000,0.02240,2.310000,753
3168,Transit,2014,Kepler,17.46081200,2.180,0.194,225.60000,0.71000,120.000000,568
3169,Transit,2014,Kepler,36.27710800,3.030,0.270,21.60000,0.06800,4.270000,445
3170,Transit,2016,Kepler,3.21982106,1.750,0.156,3.71000,0.01170,3.800000,998
3171,Transit,2014,Kepler,4.60182000,2.340,0.209,6.08000,0.01910,2.610000,896
3172,Transit,2014,Kepler,11.18716100,1.500,0.134,2.86000,0.00899,4.660000,667
3173,Transit,2014,Kepler,3.33616000,1.640,0.146,3.33000,0.01050,4.150000,970
3174,Transit,2014,Kepler,9.43945200,4.090,0.365,15.70000,0.04940,1.260000,686
3175,Transit,2014,Kepler,20.47791200,3.940,0.352,14.70000,0.04630,1.320000,530
3176,Transit,2014,Kepler,6.30820500,3.020,0.269,9.38000,0.02950,1.870000,819
3177,Transit,2014,Kepler,16.23949400,4.070,0.363,15.60000,0.04900,1.270000,598
3178,Transit,2014,Kepler,3.30653900,1.090,0.097,1.32000,0.00416,5.600000,554
3179,Transit,2014,Kepler,7.11370200,1.510,0.135,2.89000,0.00909,4.610000,429
3180,Transit,2014,Kepler,15.36845900,1.570,0.140,3.09000,0.00972,4.390000,332
3181,Transit,2011,Kepler,6.23829700,2.748,0.245,8.70000,0.02750,2.320000,1185
3182,Transit,2011,Kepler,12.72070000,5.217,0.465,15.20000,0.04790,0.588000,934
3183,Radial Velocity,2014,W. M. Keck Observatory,122.40000000,10.000,0.894,71.90000,0.22600,0.395000,
3184,Transit,2014,Kepler,4.14814100,1.130,0.101,1.51000,0.00474,5.750000,938
3185,Transit,2014,Kepler,7.15680400,2.280,0.203,5.82000,0.01830,2.700000,782
3186,Transit,2014,Kepler,17.64831200,2.180,0.194,5.39000,0.01700,2.860000,579
3187,Transit,2014,Kepler,4.79093600,1.330,0.119,2.33000,0.00733,5.440000,990
3188,Transit,2014,Kepler,16.51404300,2.770,0.247,8.10000,0.02550,2.090000,655
3189,Transit,2014,Kepler,30.13300100,2.770,0.247,8.10000,0.02550,2.090000,536
3190,Transit,2014,Kepler,99.64016100,2.770,0.247,8.10000,0.02550,2.090000,360
3191,Transit,2014,Kepler,6.66839100,1.230,0.110,2.04000,0.00642,6.020000,587
3192,Transit,2014,Kepler,10.84846300,2.150,0.192,5.27000,0.01660,2.910000,499
3193,Transit,2014,Kepler,3.78398600,1.630,0.145,3.29000,0.01040,4.170000,949
3194,Transit,2014,Kepler,10.28195100,2.650,0.236,7.51000,0.02360,2.220000,680
3195,Transit,2014,Kepler,18.11986900,3.170,0.283,10.20000,0.03200,1.760000,563
3196,Transit,2014,Kepler,5.82666200,3.870,0.345,14.30000,0.04490,1.360000,1013
3197,Transit,2014,Kepler,12.41218300,2.150,0.192,3.20000,0.01000,1.770000,787
3198,Transit,2014,Kepler,18.74647700,2.500,0.223,6.80000,0.02140,2.390000,686
3199,Transit,2014,Kepler,5.71460600,1.550,0.138,3.02000,0.00951,4.460000,971
3200,Transit,2014,Kepler,9.94604700,2.990,0.267,9.22000,0.02900,1.900000,807
3201,Transit,2016,Kepler,1.04562266,1.320,0.118,2.30000,0.00724,5.500000,1710
3202,Transit,2014,Kepler,1.62049300,1.590,0.142,3.15000,0.00993,4.310000,1681
3203,Transit,2014,Kepler,3.38802000,2.150,0.192,5.27000,0.01660,2.910000,1315
3204,Transit,2014,Kepler,5.83917200,2.480,0.221,6.71000,0.02110,2.420000,1097
3205,Transit,2014,Kepler,10.68157200,2.350,0.210,6.12000,0.01930,2.590000,897
3206,Transit,2014,Kepler,2.38266700,2.610,0.233,7.32000,0.02300,2.260000,1237
3207,Transit,2014,Kepler,6.58148400,5.410,0.483,25.20000,0.07940,0.875000,881
3208,Transit,2014,Kepler,24.66455100,4.950,0.442,21.70000,0.06830,0.983000,567
3209,Transit,2014,Kepler,13.19722000,4.060,0.362,15.50000,0.04880,1.270000,642
3210,Transit,2014,Kepler,33.65307900,3.610,0.322,12.70000,0.03990,1.480000,470
3211,Transit,2014,Kepler,8.11531700,2.800,0.250,8.25000,0.02590,2.070000,879
3212,Transit,2014,Kepler,36.92493100,2.700,0.241,7.75000,0.02440,2.160000,530
3213,Transit,2011,Kepler,12.28000000,2.780,0.248,5.12000,0.01611,1.260000,431
3214,Transit,2011,Kepler,17.25590000,2.720,0.243,6.20000,0.01951,1.610000,385
3215,Transit,2014,Kepler,3.54391900,1.070,0.095,1.24000,0.00390,5.560000,652
3216,Transit,2014,Kepler,46.82791500,2.410,0.215,6.39000,0.02010,2.510000,276
3217,Transit,2014,Kepler,8.18739900,2.010,0.179,4.70000,0.01480,3.180000,782
3218,Transit,2014,Kepler,76.05017800,1.740,0.155,3.68000,0.01160,3.840000,372
